vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
50,330,2.0,38,65,1.0,0.8,25,6.57298,12,0.009476,-0.00362,0.5,go
50,360,2.0,38,65,1.0,0.8,25,6.57298,12,0.009476,-0.00362,0.5,go
50,390,2.0,38,65,1.0,0.8,25,6.57298,12,0.009476,-0.00362,0.5,go
60,390,2.5,32,62,1.0,0.8,22,6.517295,8,0.008175,-0.005419,0.5,no_go
65,390,2.5,32,62,1.0,0.8,22,6.517295,8,0.008175,-0.005419,0.5,no_go
60,360,2.5,38,65,1.0,0.8,20,6.514785,13,0.008331,-0.006609,0.5385,go
65,330,2.5,38,65,1.0,0.8,20,6.514785,13,0.008331,-0.006609,0.5385,go
65,360,2.5,38,65,1.0,0.8,20,6.514785,13,0.008331,-0.006609,0.5385,go
60,390,2.0,35,65,1.0,0.8,22,6.451645,15,0.008759,-0.003571,0.4667,go
65,390,2.0,35,65,1.0,0.8,22,6.451645,15,0.008759,-0.003571,0.4667,go
60,330,2.0,35,68,1.0,0.8,22,6.367056,13,0.008464,-0.003571,0.4615,go
60,360,2.0,35,68,1.0,0.8,22,6.367056,13,0.008464,-0.003571,0.4615,go
65,330,2.0,35,68,1.0,0.8,22,6.367056,13,0.008464,-0.003571,0.4615,go
65,360,2.0,35,68,1.0,0.8,22,6.367056,13,0.008464,-0.003571,0.4615,go
50,330,2.0,32,68,1.0,0.8,20,6.332037,10,0.007347,-0.003571,0.5,go
50,330,2.0,35,68,1.0,0.8,20,6.332037,10,0.007347,-0.003571,0.5,go
50,360,2.0,32,68,1.0,0.8,20,6.332037,10,0.007347,-0.003571,0.5,go
50,360,2.0,35,68,1.0,0.8,20,6.332037,10,0.007347,-0.003571,0.5,go
50,390,2.0,32,68,1.0,0.8,20,6.332037,10,0.007347,-0.003571,0.5,go
50,390,2.0,35,68,1.0,0.8,20,6.332037,10,0.007347,-0.003571,0.5,go
60,390,2.0,35,65,1.0,0.8,25,6.287303,15,0.009325,-0.003735,0.4667,go
65,390,2.0,35,65,1.0,0.8,25,6.287303,15,0.009325,-0.003735,0.4667,go
60,360,2.5,38,68,1.0,0.8,25,6.245326,12,0.009196,-0.006504,0.5,go
65,330,2.5,38,68,1.0,0.8,25,6.245326,12,0.009196,-0.006504,0.5,go
65,360,2.5,38,68,1.0,0.8,25,6.245326,12,0.009196,-0.006504,0.5,go
60,390,2.0,35,65,1.0,0.8,20,6.207792,15,0.007854,-0.003571,0.5333,go
65,390,2.0,35,65,1.0,0.8,20,6.207792,15,0.007854,-0.003571,0.5333,go
60,330,2.0,35,68,1.0,0.8,25,6.196475,13,0.00903,-0.003571,0.4615,go
60,360,2.0,35,68,1.0,0.8,25,6.196475,13,0.00903,-0.003571,0.4615,go
65,330,2.0,35,68,1.0,0.8,25,6.196475,13,0.00903,-0.003571,0.4615,go
65,360,2.0,35,68,1.0,0.8,25,6.196475,13,0.00903,-0.003571,0.4615,go
50,330,2.5,32,68,1.0,0.8,20,6.187936,8,0.006899,-0.004963,0.5,no_go
50,330,2.5,35,68,1.0,0.8,20,6.187936,8,0.006899,-0.004963,0.5,no_go
50,330,2.5,38,68,1.0,0.8,20,6.187936,8,0.006899,-0.004963,0.5,no_go
60,330,2.0,35,68,1.0,0.8,20,6.121741,13,0.00756,-0.003571,0.5385,go
60,360,2.0,35,68,1.0,0.8,20,6.121741,13,0.00756,-0.003571,0.5385,go
65,330,2.0,35,68,1.0,0.8,20,6.121741,13,0.00756,-0.003571,0.5385,go
65,360,2.0,35,68,1.0,0.8,20,6.121741,13,0.00756,-0.003571,0.5385,go
60,330,2.5,32,62,1.0,0.8,22,6.005222,12,0.007877,-0.005419,0.5,go
60,330,2.5,35,62,1.0,0.8,22,6.005222,12,0.007877,-0.005419,0.5,go
60,360,2.5,32,62,1.0,0.8,22,6.005222,12,0.007877,-0.005419,0.5,go
65,330,2.5,32,62,1.0,0.8,22,6.005222,12,0.007877,-0.005419,0.5,go
65,360,2.5,32,62,1.0,0.8,22,6.005222,12,0.007877,-0.005419,0.5,go
60,390,2.5,38,65,1.0,0.8,22,5.974775,10,0.007913,-0.00576,0.5,go
60,390,2.5,38,68,1.0,0.8,22,5.974775,10,0.007913,-0.00576,0.5,go
65,390,2.5,38,65,1.0,0.8,22,5.974775,10,0.007913,-0.00576,0.5,go
65,390,2.5,38,68,1.0,0.8,22,5.974775,10,0.007913,-0.00576,0.5,go
60,330,2.0,32,65,1.0,0.8,22,5.911325,12,0.00776,-0.003571,0.5,go
60,360,2.0,32,65,1.0,0.8,22,5.911325,12,0.00776,-0.003571,0.5,go
65,330,2.0,32,65,1.0,0.8,22,5.911325,12,0.00776,-0.003571,0.5,go
65,360,2.0,32,65,1.0,0.8,22,5.911325,12,0.00776,-0.003571,0.5,go
50,330,2.5,32,62,1.0,0.8,25,5.895455,11,0.008419,-0.005419,0.4545,go
50,330,2.5,35,62,1.0,0.8,25,5.895455,11,0.008419,-0.005419,0.4545,go
50,330,2.5,38,62,1.0,0.8,25,5.895455,11,0.008419,-0.005419,0.4545,go
60,330,2.5,38,65,1.0,0.8,25,5.802402,12,0.008458,-0.006504,0.5,go
